127.0.0.1 - - [20/Sep/2014:08:26:06 +0200] "GET /allocamping-frontend/stylesheet/local/fonts/lato-lig-webfont.woff HTTP/1.1" 200 31020
127.0.0.1 - - [20/Sep/2014:08:26:06 +0200] "GET /allocamping-frontend/pages/map.htm HTTP/1.1" 200 217
127.0.0.1 - - [20/Sep/2014:08:26:10 +0200] "GET /allocamping-services/camping HTTP/1.1" 500 5949
127.0.0.1 - - [20/Sep/2014:08:26:10 +0200] "GET /allocamping-services/camping HTTP/1.1" 500 5949
127.0.0.1 - - [20/Sep/2014:08:26:25 +0200] "GET /allocamping-frontend/ HTTP/1.1" 200 2236
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/stylesheet/local/fonts/stylesheet.css HTTP/1.1" 200 459
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/extern/less.js HTTP/1.1" 200 101854
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/local/camping-map.js HTTP/1.1" 200 301
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/extern/angular-1.2.16/angular-route.js HTTP/1.1" 200 33126
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/local/camping-app.js HTTP/1.1" 200 654
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/extern/jquery-1.11.0.min.js HTTP/1.1" 200 96381
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/extern/underscore.js HTTP/1.1" 200 45489
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/local/camping-app-controllers.js HTTP/1.1" 200 5306
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/extern/angular-google-maps.js HTTP/1.1" 200 229172
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/js/local/camping-app-services.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/stylesheet/extern/knackLESS/knacss.less HTTP/1.1" 200 521
127.0.0.1 - - [20/Sep/2014:08:26:26 +0200] "GET /allocamping-frontend/stylesheet/extern/knackLESS/00-config.less HTTP/1.1" 200 1849
